Code,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,clean_content,searched_unique_singleword,unsearched_unique_singleword,searched_pairword,searched_unique_singleword_synonym,searched_words,ranking_score,final_category
102299190,94121,80,1,102299100.0,94119,80.0,Other,7,,,,,,,5,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102299900,94122,80,0,102299100.0,94118,10.0,Other,6,,,,,,,6,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102299921,94123,10,0,102299900.0,94122,80.0,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",7,bull schwyz fribourg spotted simmental breed,,bull schwyz fribourg spotted simmental breed,,,,5,"bull schwyz fribourg spotted simmental breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102299921,94124,80,1,102299921.0,94123,10.0,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",8,yet permanent tooth weight les kg kg,tooth weight,yet permanent les kg kg,,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,4,"tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102299929,94125,80,1,102299921.0,94123,10.0,Other,8,,,,,,,4,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102299991,94126,10,0,102299900.0,94122,80.0,Other,7,,,,,,,5,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102299991,94127,80,1,102299991.0,94126,10.0,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",8,yet permanent tooth weight les kg kg,tooth weight,yet permanent les kg kg,,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,4,"tooth weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102299999,94128,80,1,102299991.0,94126,10.0,Other,8,,,,,,,4,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102310000,94054,10,0,102000000.0,27633,80.0,Buffalo,1,buffalo,,buffalo,,,,11,"buffalo Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102310000,94051,80,1,102310000.0,94054,10.0,Pure-bred breeding animals,2,purebred breeding animal,animal,purebred breeding,,animal animate_being beast brute creature fauna carnal fleshly sensual,animal animate_being beast brute creature fauna carnal fleshly sensual,10,"animal animate_being beast brute creature fauna carnal fleshly sensual Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
